# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -20159 9 16 1048579 15766675 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -20159 9 16 1048579 15766689 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.347e65afd1eb.html
DUPTYPE_WITHIN_SAME_TREE -20159 8 16 1048579 19931737 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.html
DUPTYPE_FIRST_OCCURRENCE 20065 8 19 1048579 21829130 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 1048579 16061021 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 1048579 21825748 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 1048579 20711056 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 1048579 20711087 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 1048579 16305359 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 1048579 21362198 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 1048579 21359801 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 1048579 16061020 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 1048579 16888160 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 1048579 16888161 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 1048579 16305360 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_FIRST_OCCURRENCE 12357 5 19 1048579 19412590 5 /openedx/staticfiles/templates/bulk_email/edx_ace/bulkemail/email/from_name.a98967556ce9.txt
DUPTYPE_WITHIN_SAME_TREE -12357 5 19 1048579 19410693 5 /openedx/staticfiles/templates/bulk_email/edx_ace/bulkemail/email/from_name.txt
DUPTYPE_FIRST_OCCURRENCE 19987 8 20 1048579 21820840 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/tabs/8e4cce2b4aaf4ba28b1220804619e41f.0b20f0cff4b9.html
DUPTYPE_WITHIN_SAME_TREE -19987 9 20 1048579 16656587 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/tabs/8e4cce2b4aaf4ba28b1220804619e41f.html
DUPTYPE_WITHIN_SAME_TREE -19987 8 20 1048579 19930139 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/tabs/8e4cce2b4aaf4ba28b1220804619e41f.html
DUPTYPE_WITHIN_SAME_TREE -19987 8 20 1048579 21820650 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/tabs/8e4cce2b4aaf4ba28b1220804619e41f.html
